MetaFemina new-study exclusion ledger
=======================================
PMID | Published date | Screen | Code | Exposure | Cancer | Reason
40719139 | 2026-02-01 | first | S1-NOT-DIRECT | Iodine | Breast cancer | Iodine is used as a contrast-imaging measurement for diagnosing existing breast masses, not as an exposure associated with breast cancer incidence.
40744812 | 2026-07-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology in an ovarian cancer treatment study.
40762587 | 2026-03-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol consumption is only a lifestyle outcome among breast cancer survivors, with no breast cancer incidence question.
40787906 | 2026-02-01 | first | S1-NOT-DIRECT | Iodine | Uterine cancer | Lugol's iodine is incidental to a survey of cervical colposcopy practices and is not studied as a risk factor for uterine cancer.
40791025 | 2026-02-01 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is part of an experimental nanoparticle formulation tested against existing breast cancer cells, not an incidence exposure.
40795806 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology in a breast cancer treatment discussion.
40796369 | 2026-03-01 | first | S1-NOT-DIRECT | Berberine | Breast cancer | Berberine is evaluated as part of a liposomal breast cancer drug formulation rather than as an exposure associated with breast cancer incidence.
40803233 | 2026-02-01 | first | S1-NOT-DIRECT | Beta-glucans | Breast cancer | Beta-glucans are nanoparticle targeting components in an experimental breast cancer immunotherapy, with no incidence or risk question.
40818326 | 2026-02-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is incorporated into a therapeutic nanodrug for established breast cancer rather than studied as an incidence-related nutritional exposure.
40818326 | 2026-02-01 | first | S1-NOT-DIRECT | Lactobacillus | Breast cancer | Lactobacillus is used as part of a therapeutic biohybrid designed to suppress established breast tumors, not assessed in relation to incidence.
40818326 | 2026-02-01 | first | S1-NOT-DIRECT | Probiotics | Breast cancer | The probiotic is a component of an experimental breast cancer immunotherapy and is not studied as an exposure affecting cancer incidence.
40827815 | 2026-02-01 | second | S2-REVIEW | Flaxseed | Breast cancer | This article reviews phytoestrogen metabolism and breast cancer evidence rather than reporting an original human flaxseed study.
40827815 | 2026-02-01 | second | S2-REVIEW | Soy | Breast cancer | This article reviews phytoestrogen metabolism and breast cancer evidence rather than reporting an original human soy study.
40882205 | 2026-05-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol occurs only in the polymer name polyvinyl alcohol used for a docetaxel delivery system and is not a nutritional exposure.
40889703 | 2026-06-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium is mentioned only as the target of a calcium-channel-blocking toxin in an experimental tumor treatment study.
40914929 | 2026-03-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology, and the measured incidence is treatment-associated thrombosis rather than ovarian cancer.
40957901 | 2026-03-01 | first | S1-NOT-DIRECT | Nitric oxide | Breast cancer | Nitric oxide-mediated signaling is a proposed mechanism for psychiatric adverse effects of taxane treatment, not an exposure linked to breast cancer incidence.
40963070 | 2026-06-01 | second | S2-COMPOUND | Alcohol | Breast cancer | Alcohol is only one lifestyle feature in a multi-source disease-prediction model, with no separable alcohol-specific breast cancer estimate.
40966125 | 2026-02-15 | first | S1-NOT-DIRECT | Cartilage | Breast cancer | Cartilage is mentioned only as an anatomical landmark for radiotherapy dosimetry in patients with existing breast cancer.
40972448 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within poly(ADP-ribose) polymerase inhibitor terminology in a review of ovarian cancer treatment.
40974530 | 2026-04-01 | second | S2-REVIEW | Lactobacillus | Breast cancer | This is a review of Lactobacillus mechanisms and therapeutic potential rather than an original human incidence study.
40974530 | 2026-04-01 | second | S2-REVIEW | Probiotics | Breast cancer | This is a review of probiotics and breast cancer treatment mechanisms rather than an original human incidence study.
40974565 | 2026-03-01 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is incidental to a valsartan delivery formulation for treating established experimental breast cancer, not an incident-cancer exposure.
40992093 | 2026-02-01 | first | S1-NOT-DIRECT | Boron | Breast cancer | Boron is part of a computational biosensor material for breast cancer diagnosis and is not evaluated as a breast cancer risk exposure.
41030069 | 2026-02-04 | first | S1-NOT-DIRECT | Zinc | Breast cancer | Zinc appears only in the description of the LIV-1 zinc transporter family targeted for breast cancer treatment.
41032090 | 2026-02-01 | first | S1-NOT-DIRECT | Folic acid | Breast cancer | Folic acid is a nanoparticle coating used for anticancer therapy rather than a nutritional exposure evaluated for breast cancer incidence.
41037888 | 2026-02-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is a component of an intratumoral therapeutic hydrogel for established breast cancer, with no incidence or risk question.
41037888 | 2026-02-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese dioxide is a component of an intratumoral therapeutic hydrogel for established breast cancer, with no incidence or risk question.
41051269 | 2026-04-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | Vitamin D levels are studied only in relation to postoperative complications after breast reconstruction, not breast cancer incidence.
41065768 | 2026-07-01 | second | S2-POSTDIAGNOSIS | Folic acid | Breast cancer | Folic acid deficiency was evaluated only among patients with histopathologically confirmed breast cancer after diagnosis, without an incident-cancer comparison.
41065768 | 2026-07-01 | second | S2-POSTDIAGNOSIS | Iodine | Breast cancer | Iodine deficiency was evaluated only among patients with histopathologically confirmed breast cancer after diagnosis, without an incident-cancer comparison.
41065768 | 2026-07-01 | second | S2-POSTDIAGNOSIS | Iron | Breast cancer | Iron deficiency was evaluated only among patients with histopathologically confirmed breast cancer after diagnosis, without an incident-cancer comparison.
41065768 | 2026-07-01 | second | S2-POSTDIAGNOSIS | Vitamin D | Breast cancer | Vitamin D deficiency was evaluated only among patients with histopathologically confirmed breast cancer after diagnosis, without an incident-cancer comparison.
41065988 | 2026-06-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | The alcohol match comes from polyvinyl alcohol in a therapeutic hydrogel and does not concern alcohol consumption or breast cancer risk.
41065988 | 2026-06-01 | first | S1-NOT-DIRECT | Aloe vera | Breast cancer | Aloe vera is used in a drug-delivery hydrogel to treat established breast cancer cells rather than studied as an incidence exposure.
41072704 | 2026-04-01 | first | S1-NOT-DIRECT | Probiotics | Ovarian cancer | The review concerns treatment-related outcomes in patients with existing gynecologic cancers and does not evaluate ovarian cancer incidence.
41072704 | 2026-04-01 | first | S1-NOT-DIRECT | Probiotics | Uterine cancer | The review concerns treatment toxicity and postoperative outcomes in patients with existing gynecologic cancers, not uterine cancer incidence.
41074737 | 2026-04-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only within the name poly(ADP-ribose) polymerase inhibitors used for breast cancer treatment.
41084910 | 2026 | second | S2-REVIEW | Melatonin | Breast cancer | This is a systematic review of artificial light, melatonin pathways, and cancer rather than an original human study.
41092615 | 2026-03-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron appears only in the mechanistic phrase iron-sulfur cluster destabilization during experimental breast cancer immunotherapy.
41116288 | 2026-02-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese dioxide is used in an imaging and therapeutic nanoplatform for established breast cancer rather than evaluated as a risk exposure.
41130836 | 2026-04-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only within the name poly(ADP-ribose) polymerase inhibitors used to treat and monitor existing ovarian cancer.
41137391 | 2026-02-04 | first | S1-NOT-DIRECT | Glutamine | Breast cancer | Glutamine appears only as part of a tumor-cell signaling and metabolic mechanism investigated for breast cancer immunotherapy.
41144475 | 2026-07-01 | first | S1-NOT-DIRECT | Alcohol | Ovarian cancer | Alcohol use is analyzed in relation to hereditary cancer knowledge and testing attitudes, not ovarian cancer incidence.
41145327 | 2026-02-01 | first | S1-NOT-DIRECT | Mediterranean diet | Breast cancer | The Mediterranean diet intervention is conducted among breast cancer survivors and studies dietary change and weight loss rather than cancer incidence.
41145327 | 2026-02-01 | first | S1-NOT-DIRECT | Olive | Breast cancer | Olive oil is merely a component of a dietary pattern studied among breast cancer survivors, with no incident-cancer outcome.
41160423 | 2026-03-13 | first | S1-NOT-DIRECT | Lactobacillus | Uterine cancer | The article concerns cervical cancer rather than the requested uterine cancer outcome.
41160423 | 2026-03-13 | first | S1-NOT-DIRECT | Probiotics | Uterine cancer | The article discusses probiotics for HPV persistence and cervical cancer prevention rather than the requested uterine cancer outcome.
41170866 | 2026-04-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol is evaluated for mortality among patients already diagnosed with cancer, not for incident breast cancer risk.
41171579 | 2026-03-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol is not studied, and the article concerns nanotechnology-enhanced breast cancer treatment.
41171579 | 2026-03-01 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | Pyruvate appears only in a therapeutic cancer-metabolism pathway, with no breast cancer incidence or risk question.
41177138 | 2026-05-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Ferric ions are components of therapeutic nanoparticles designed to treat existing breast tumors, not a nutritional risk exposure.
41186660 | 2026-03-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose is only part of the name poly(ADP-ribose) polymerase inhibitors in a study of treatment preferences.
41188087 | 2026-03-01 | first | S1-NOT-DIRECT | Antioxidants | Breast cancer | The study evaluates genetic polymorphisms in metabolic enzymes rather than antioxidant intake or antioxidant biomarker exposure.
41191919 | 2026-03-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose is only embedded in the name poly(ADP-ribose) polymerase inhibitors used for ovarian cancer therapy.
41192394 | 2026-02-01 | first | S1-NOT-DIRECT | Calcium | Uterine cancer | Calcium appears only in the description of calcium-dependent calpain biology, not as an exposure associated with uterine cancer risk.
41193320 | 2026-02-01 | second | S2-EXPOSURE-MISMATCH | Antioxidants | Ovarian cancer | The study measures postdiagnostic total antioxidant capacity as an oxidative-stress biomarker rather than a prediagnostic nutritional antioxidant exposure.
41195560 | 2026-04-01 | first | S1-NOT-DIRECT | Iodine | Uterine cancer | Iodine is used incidentally in Lugol's iodine testing during follow-up of cervical dysplasia treatment, not as a cancer risk exposure.
41205803 | 2026-07-01 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin is discussed as a flavonoid therapeutic modulator of signaling and drug resistance in existing breast tumors, without an incidence question.
41213437 | 2026-02-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine appears only in the protein structural term leucine-rich repeat and is not studied as a nutritional exposure.
41215610 | 2026-02-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron oxide nanoparticles are components of an imaging and ablation platform for existing breast cancer rather than a risk exposure.
41220296 | 2026-02-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron-dependent ferroptosis is exploited for breast cancer therapy, with no study of iron exposure and cancer incidence.
41222307 | 2026-06-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron oxide is administered as a sentinel lymph node tracer to breast cancer patients and is studied for postoperative artifacts and discoloration.
41223669 | 2026-03-01 | first | S1-NOT-DIRECT | Pyruvate | Uterine cancer | Pyruvate dehydrogenase activity is measured as part of a mechanistic study of cervical cancer progression, not incident cancer risk.
41225749 | 2026-05-01 | first | S1-NOT-DIRECT | Creatine | Breast cancer | The match is to creatine kinase-MB as a cardiotoxicity biomarker in doxorubicin-treated patients, not creatine exposure or breast cancer incidence.
41240166 | 2026-02-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper complexes are tested for therapeutic cellular effects in breast cancer cell lines rather than copper exposure and cancer risk.
41240166 | 2026-02-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese complexes are tested for therapeutic autophagy and immune effects in breast cancer models rather than incidence risk.
41242026 | 2026-02-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese ions are delivered in therapeutic nanoparticles to inhibit established breast tumors, with no incidence question.
41242930 | 2026 | first | S1-NOT-DIRECT | Copper | Uterine cancer | Copper only identifies an intrauterine device type in a study of cytologic alterations, not nutritional copper exposure and uterine cancer risk.
41243575 | 2026-02-01 | first | S1-NOT-DIRECT | Pyruvate | Breast cancer | The article studies pyruvate dehydrogenase kinase as a mechanism and therapeutic target in established breast cancer, not pyruvate exposure and incidence.
41249523 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium appears only as a component of a dermal filler used in cancer patients, not as a nutritional exposure related to breast cancer incidence.
41260515 | 2026-02-28 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose refers to the chemical structure of ribosomal RNA undergoing methylation, not dietary ribose exposure or breast cancer risk.
41260568 | 2026 | first | S1-NOT-DIRECT | Iodine | Breast cancer | Iodine-125 is used for radioguided marking of existing breast cancer lesions, with no incidence or risk question.
41263486 | 2026-03-01 | first | S1-NOT-DIRECT | Nitric oxide | Breast cancer | Dietary nitrate and nitrite are evaluated as adjuncts to doxorubicin treatment in established breast tumors, not as determinants of breast cancer incidence.
41264162 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only within the name of a PARP inhibitor used for ovarian cancer maintenance treatment, not as a nutritional exposure.
41267635 | 2026-04-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose appears only in the expanded name of PARP inhibitors discussed as treatment for metastatic breast cancer.
41272941 | 2026-06-01 | first | S1-NOT-DIRECT | Lavender | Uterine cancer | The study tests lavender as an antitumor treatment in cervical cancer cells rather than examining uterine cancer incidence.
41274190 | 2026-02-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | Alcohol is mentioned only as a factor influencing clinicians' prophylactic-mastectomy decisions, not as an exposure evaluated for breast cancer incidence.
41275930 | 2026-02-01 | first | S1-NOT-DIRECT | Antioxidants | Ovarian cancer | The article examines endogenous antioxidant enzymes in a molecular model of serous carcinogenesis rather than nutritional antioxidant exposure and ovarian cancer risk.
41283998 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Uterine cancer | Calcium signaling is a tumor pathway and proposed therapeutic target in cervical cancer, not a calcium exposure associated with uterine cancer incidence.
41287397 | 2026-06-01 | first | S1-NOT-DIRECT | Antioxidants | Ovarian cancer | Antioxidant activity is a property of plant extracts tested therapeutically against ovarian cancer cells, not an exposure-incidence association.
41297642 | 2026-03-01 | first | S1-NOT-DIRECT | Astragalus | Uterine cancer | Astragalus polysaccharides are investigated as treatment for immune escape in established cervical cancer, not uterine cancer incidence.
41308482 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium peroxide is a nanomedicine component designed to treat established breast tumors through calcium overload, not a nutritional risk exposure.
41308482 | 2026-03-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is delivered by a nanomedicine to induce cuproptosis in established breast cancer, with no incidence question.
41308482 | 2026-03-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron appears only in a mechanistic reference to iron-sulfur proteins during experimental breast cancer therapy, not as a risk exposure.
41311326 | 2026-02-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is incorporated into a therapeutic nanomaterial intended to induce ferroptosis in established triple-negative breast cancer.
41314654 | 2026-06-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears solely in the name of PARP inhibitors used to treat an existing ovarian cancer case.
41316921 | 2026-02-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine appears only in the term leucine zipper describing a transcription-factor family, not as a nutritional exposure.
41317513 | 2026-03-01 | first | S1-NOT-DIRECT | Iron | Ovarian cancer | Iron-dependent ferroptosis is studied as a mechanism for suppressing established ovarian tumors, not as an iron exposure-incidence association.
41318995 | 2026-03-04 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine occurs only in the structural term leucine zipper for C/EBPβ and is unrelated to nutritional leucine exposure.
41319610 | 2026-03-01 | first | S1-NOT-DIRECT | Manganese | Ovarian cancer | Manganese is a component of an experimental sonosensitizer used to treat established ovarian carcinoma, not an incidence exposure.
41320159 | 2026-03-11 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium signaling is examined as part of photoelectrical control of cancer-cell fate, not as nutritional calcium exposure or breast cancer risk.
41324162 | 2026-03-01 | first | S1-NOT-DIRECT | Zinc | Ovarian cancer | The study concerns zinc homeostasis-related genes as prognostic markers in existing ovarian cancer, not zinc exposure and ovarian cancer incidence.
41338444 | 2026-02-28 | first | S1-NOT-DIRECT | Copper | Breast cancer | The article examines copper-driven progression and prognosis in established triple-negative breast cancer rather than incident breast cancer risk.
41343917 | 2026-03-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper complexes are evaluated as radioprotective agents in breast cancer cells, with no breast cancer incidence question.
41343917 | 2026-03-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese complexes are evaluated as radioprotective agents in breast cancer cells, with no breast cancer incidence question.
41343998 | 2026-04-01 | first | S1-NOT-DIRECT | Vitamin E | Breast cancer | A vitamin E derivative is used as a drug-delivery ligand for breast cancer therapy rather than studied as a risk exposure.
41347401 | 2026-03-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the name of PARP inhibitors, and the article addresses ovarian cancer maintenance therapy rather than ribose exposure.
41349354 | 2026-03-01 | first | S1-NOT-DIRECT | Probiotics | Breast cancer | The review focuses on probiotics as adjunctive breast cancer treatment and immune modulation, not breast cancer incidence or risk.
41350924 | 2026-03-01 | first | S1-NOT-DIRECT | Resveratrol | Breast cancer | The title describes molecular effects of resveratrol in breast cancer, with no indication of an incident-cancer risk question.
41351346 | 2026-05-01 | first | S1-NOT-DIRECT | Caffeine | Uterine cancer | The study evaluates caffeine in relation to benign uterine fibroids rather than uterine cancer incidence.
41352125 | 2026-02-01 | second | S2-REVIEW | Lactobacillus | Breast cancer | This is a narrative review of microbiome involvement in breast cancer rather than an original human incidence study.
41352125 | 2026-02-01 | first | S1-NOT-DIRECT | Probiotics | Breast cancer | Probiotics are presented as therapeutic microbiome interventions rather than exposures associated with breast cancer incidence.
41352626 | 2026-02-01 | first | S1-NOT-DIRECT | N-acetylcysteine | Uterine cancer | N-acetylcysteine is only a protective laboratory intervention against phthalate-induced cervical damage and is not studied as a uterine cancer risk exposure.
41354014 | 2026-04-01 | first | S1-NOT-DIRECT | Gelatin | Breast cancer | Gelatin is merely a component of a scaffold used to culture existing breast cancer cells, not an incidence-related exposure.
41358464 | 2026-07-01 | first | S1-NOT-DIRECT | Chitosan | Breast cancer | Chitosan is an incidental formulation component in a breast cancer treatment study and is not examined for cancer risk.
41358464 | 2026-07-01 | first | S1-NOT-DIRECT | Creatine | Breast cancer | The match is to creatine kinase as a toxicity biomarker, not to creatine exposure or breast cancer incidence.
41360262 | 2026-02-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | The article studies intracellular calcium dynamics in existing breast cancer cells during tamoxifen treatment, not calcium exposure and incidence.
41360262 | 2026-02-01 | first | S1-NOT-DIRECT | Potassium | Breast cancer | The article studies intracellular potassium-channel signaling in existing breast cancer cells during tamoxifen treatment, not potassium exposure and incidence.
41366594 | 2026-04-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the pharmacologic term poly(ADP-ribose) polymerase inhibitor, not as a nutritional exposure related to ovarian cancer risk.
41370830 | 2026-04-01 | first | S1-NOT-DIRECT | Cartilage | Breast cancer | Cartilage refers to a tumor-cell ossification program governing dormancy and recurrence, not a nutritional exposure or incident breast cancer risk.
41379766 | 2026-03-17 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium co-administration is discussed for skeletal protection, while breast cancer incidence is attributed to menopausal hormone therapy rather than calcium.
41379766 | 2026-03-17 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | Vitamin D co-administration is discussed for skeletal protection, while breast cancer incidence is attributed to menopausal hormone therapy rather than vitamin D.
41386415 | 2026-03-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | Iron is incorporated into a therapeutic nanoplatform for established breast cancer and is not studied as an incidence-related exposure.
41387313 | 2026-03-01 | first | S1-NOT-DIRECT | Gelatin | Breast cancer | Gelatin is an incidental hydrogel scaffold component used for breast cancer organoid culture, not a breast cancer risk exposure.
41391019 | 2026-02-01 | first | S1-NOT-DIRECT | Iron | Breast cancer | The study examines tumor-cell iron metabolism and ferroptosis during triple-negative breast cancer progression, not nutritional iron and incidence.
41391242 | 2026-03-01 | first | S1-NOT-DIRECT | Manganese | Breast cancer | Manganese dioxide nanoparticles are used for experimental breast cancer therapy rather than evaluated as an exposure affecting incidence.
41391671 | 2026-03-01 | first | S1-NOT-DIRECT | Carnitine | Breast cancer | Carnitine appears only within the enzyme name carnitine palmitoyltransferase in a breast cancer progression mechanism study, not as a nutritional exposure linked to incidence.
41391693 | 2026-03-01 | first | S1-NOT-DIRECT | Potassium | Ovarian cancer | Potassium is only part of the protein name potassium channel modulatory factor 1 and is not studied as an exposure affecting ovarian cancer risk.
41395670 | 2026-04-01 | first | S1-NOT-DIRECT | Cartilage | Ovarian cancer | Cartilage is merely a heterologous histologic element within ovarian tumors and not an exposure associated with ovarian cancer incidence.
41399186 | 2026-03-01 | first | S1-NOT-DIRECT | Carnitine | Breast cancer | Carnitine appears only within carnitine palmitoyltransferase in a study of chemotherapy resistance and breast cancer invasiveness, not incidence.
41402631 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Breast cancer | Ribose is a lexical match within poly(ADP-ribose) polymerase, and the article concerns treatment of prostate rather than breast cancer.
41406609 | 2026-02-01 | second | S2-REVIEW | Iron | Ovarian cancer | This is a narrative review of iron and female reproductive health rather than an original human ovarian cancer incidence study.
41406609 | 2026-02-01 | second | S2-REVIEW | Iron | Uterine cancer | This is a narrative review of iron and female reproductive health rather than an original human uterine cancer incidence study.
41411699 | 2026-02-01 | first | S1-NOT-DIRECT | Dehydroepiandrosterone | Ovarian cancer | Dehydroepiandrosterone is discussed as a therapy for menopausal symptoms in ovarian cancer survivors, not as an exposure affecting cancer incidence.
41411699 | 2026-02-01 | first | S1-NOT-DIRECT | Dehydroepiandrosterone | Uterine cancer | Dehydroepiandrosterone is discussed as a therapy for menopausal symptoms in gynecologic cancer survivors, not as an exposure affecting uterine cancer incidence.
41411886 | 2026-03-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | The article evaluates synthetic vitamin D analogues for antiproliferative activity in breast cancer cells rather than breast cancer incidence or risk.
41413789 | 2026-05-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only within poly(ADP-ribose) polymerase inhibitor terminology in an ovarian cancer prognosis study.
41415476 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only within poly(ADP-ribose) polymerase inhibitor terminology in a review of ovarian cancer treatment and management.
41420735 | 2026-03-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | Vitamin D is evaluated among existing breast cancer patients for chemotherapy response and prognostic characteristics, not incident cancer risk.
41431193 | 2026-03-01 | first | S1-NOT-DIRECT | Calcium | Breast cancer | Calcium ions are incidental components of a cellular migration mechanism in established breast cancer cells, with no incidence question.
