Unsaved PubMed candidates before relevance screening
====================================================
PMID | Published date | Candidate contexts | Title
40762587 | 2026-03-01 | Alcohol / Breast cancer / Incidence | Maintenance of lifestyle changes following lifestyle interventions in breast cancer survivors: a systematic literature review.
40787906 | 2026-02-01 | Iodine / Uterine cancer / Incidence | Colposcopists' practice patterns in Latin America: An international cross-sectional survey.
40791025 | 2026-02-01 | Chitosan / Breast cancer / Incidence | Chitosan quaternary ammonium salt-stabilized cerium oxide nanoparticles green-synthesized using <i>Thymus vulgaris</i> extract: multifunctional antibacterial, anticancer, and wound healing applications.
40795806 | 2026-02-01 | Ribose / Breast cancer / Incidence | Questions and answers on PARP inhibitor use in somatic BRCA-mutated breast cancers.
40796369 | 2026-03-01 | Berberine / Breast cancer / Incidence | Reversed-Phase High-Performance Liquid Chromatography Assisted Simultaneous Estimation and Validation as per ICHQ2(R2) Guidelines: Application of Method in Quantification of Paclitaxel and Berberine in Liposomes-Based Delivery System.
40803233 | 2026-02-01 | Beta-glucans / Breast cancer / Incidence | Endogenous macrophages as "Trojan horses" for targeted oral delivery of mRNA-encoded cytokines in tumor microenvironment immunotherapy.
40818326 | 2026-02-01 | Copper / Breast cancer / Incidence; Lactobacillus / Breast cancer / Incidence; Probiotics / Breast cancer / Incidence | Eliminating intratumoral bacteria with cGAS-STING-activating nanodrug-bacteria biohybrids potentiates cancer immunotherapy.
40827815 | 2026-02-01 | Flaxseed / Breast cancer / Incidence; Soy / Breast cancer / Incidence | Comprehensive Review of Isoflavones and Lignans in the Prophylaxis and Treatment of Breast Cancer.
40882205 | 2026-05-01 | Alcohol / Breast cancer / Incidence | Fabrication, characterization and in vitro evaluation of PCL/PVA nanofibers loaded with docetaxel in breast cancer cells.
40889703 | 2026-06-01 | Calcium / Breast cancer / Incidence | Tumour-specific delivery of ω-conotoxin MVIIA via engineered Salmonella for safe anticancer therapy.
40914929 | 2026-03-01 | Ribose / Ovarian cancer / Incidence | PARP inhibitors-associated thrombosis in patients with ovarian cancer: a study of the Spanish Society of Medical Oncology (SEOM) thrombosis and cancer group.
40957901 | 2026-03-01 | Nitric oxide / Breast cancer / Incidence | Mechanistic insights into taxane-induced psychiatric adverse events: a global pharmacovigilance and experimental investigation.
40963070 | 2026-06-01 | Alcohol / Breast cancer / Incidence | Causal Transformer for Learning Embeddings from Structured Medical History Records and Multi-Source Data Integration for Complex Disease Risk Prediction.
40966125 | 2026-02-15 | Cartilage / Breast cancer / Incidence | Dosimetric and clinical predictors for radiation esophagitis in patients with breast cancer undergoing conventional fractionated regional nodal irradiation: A prospective study.
40972448 | 2026-02-01 | Ribose / Ovarian cancer / Incidence | Liposome-engineered therapeutics: A promising frontier in ovarian cancer treatment.
40974530 | 2026-04-01 | Lactobacillus / Breast cancer / Incidence; Probiotics / Breast cancer / Incidence | The Role of Lactobacillus Strain Probiotics in Breast Cancer: Strain-Specific Mechanisms and Therapeutic Potential Beyond Probiotics.
40974565 | 2026-03-01 | Chitosan / Breast cancer / Incidence | Improving the bioavailability and therapeutic efficacy of valsartan for the control of cardiotoxicity-associated breast cancer.
40992093 | 2026-02-01 | Boron / Breast cancer / Incidence | Non-invasive breast cancer detection: Leveraging the potential of BN-doped C<sub>60</sub> heterofullerene for formaldehyde sensing using DFT theory.
41030069 | 2026-02-04 | Zinc / Breast cancer / Incidence | SDP-LIV1, a Novel and Optimized LIV-1 Antibody-Drug Conjugate Demonstrating Superior Antitumor Efficacy and a Favorable Safety Profile for the Treatment of Solid Tumors.
41032090 | 2026-02-01 | Folic acid / Breast cancer / Incidence | Development of pluronic F127 and folic acid coated TiO<sub>2</sub> nanoparticles for antimicrobial and anticancer applications.
41037888 | 2026-02-01 | Copper / Breast cancer / Incidence; Manganese / Breast cancer / Incidence | Copper peroxide/manganese dioxide nanoparticles crosslinked hyaluronan hydrogel for enhanced chemodynamic/photodynamic/photothermal therapy in breast cancer.
41051269 | 2026-04-01 | Vitamin D / Breast cancer / Incidence | Perioperative Vitamin D Insufficiency Impacts Postoperative Outcomes in Abdominally Based Breast Reconstruction.
41065768 | 2026-07-01 | Folic acid / Breast cancer / Incidence; Iodine / Breast cancer / Incidence; Iron / Breast cancer / Incidence; Vitamin D / Breast cancer / Incidence | Study the Changing Trends of Age at Diagnosis of Breast Carcinoma in Correlation with Polycystic Ovarian Syndrome, Obesity, and Nutritional Status.
41065988 | 2026-06-01 | Alcohol / Breast cancer / Incidence; Aloe vera / Breast cancer / Incidence | Synergistic effect of Aloe Vera hydrogels with imatinib for pH-responsive drug release in breast cancer treatment.
41072704 | 2026-04-01 | Probiotics / Ovarian cancer / Incidence; Probiotics / Uterine cancer / Incidence | Assessment of probiotic and prebiotic use in gynecologic cancer patients: a systematic review.
41074737 | 2026-04-01 | Ribose / Breast cancer / Incidence | Optimizing the integration of modern systemic therapies and advanced radiotherapy techniques in breast cancer management: An expert opinion from the Institut Curie Breast Radiotherapy Group.
41084910 | 2026 | Melatonin / Breast cancer / Incidence | Prolonged exposure to artificial light and carcinogenesis: A systematic review of oncostatic mechanisms associated with melatonin pathways.
41092615 | 2026-03-01 | Iron / Breast cancer / Incidence | PD-L1 nanobody-engineered bacterial outer membrane vesicles delivering cuproptosis micelles for potentiated cancer immunotherapy.
41103105 | 2026-06-01 | Chromium / Breast cancer / Incidence; Copper / Breast cancer / Incidence; Zinc / Breast cancer / Incidence | Applying machine learning to explore association models between environmental hormones, breast cancer, and a dietary and health education improvement program: an investigative study.
41116288 | 2026-02-01 | Manganese / Breast cancer / Incidence | Smart Tumor Oxygen Supply Strategy Enables Dual-Modality Fluorescence/MR Imaging and Synergistic Therapy of Triple-Negative Breast Cancer.
41130836 | 2026-04-01 | Ribose / Ovarian cancer / Incidence | The utility of the novel biomarker HE4 for monitoring epithelial ovarian cancer during PARP inhibitor treatment.
41137391 | 2026-02-04 | Glutamine / Breast cancer / Incidence | DCC-2036 induces repolarization of TAMs to M1 type and enhances CD8<sup>+</sup> T cell immunity in TNBC.
41144475 | 2026-07-01 | Alcohol / Ovarian cancer / Incidence | Modifiable cancer risk factors and their association with hereditary cancer awareness and knowledge, and attitudes toward genetic cancer testing: a cross-sectional survey among German primary care patients.
41145327 | 2026-02-01 | Mediterranean diet / Breast cancer / Incidence; Olive / Breast cancer / Incidence | Dietary patterns and change in food consumption in overweight or obese breast cancer survivors: the InForma randomized intervention trial.
41160423 | 2026-03-13 | Lactobacillus / Uterine cancer / Incidence; Probiotics / Uterine cancer / Incidence | The Role of Cervicovaginal Microbiota and Probiotics in Modulating HPV Persistence and Preventing Cervical Cancer.
41170866 | 2026-04-01 | Alcohol / Breast cancer / Incidence | Associations between lifestyle factors and excess mortality of cancer patients in Finland: A pooled analysis of seven population-based cohort studies.
41171579 | 2026-03-01 | Alcohol / Breast cancer / Incidence; Pyruvate / Breast cancer / Incidence | Revolutionizing Breast Cancer Treatment: Harnessing Ehrlich Ascites Carcinoma Model, Cancer Metabolism, and Nanotechnology-Enhanced Chemotherapy for Improved Patient Outcomes.
41177138 | 2026-05-01 | Iron / Breast cancer / Incidence | pH-responsive sparfloxacin/Fe<sup>3+</sup> nanoparticles eradicate intratumoral bacteria and activate ferroptosis for enhanced antitumor immunotherapy in breast cancer.
41186660 | 2026-03-01 | Ribose / Breast cancer / Incidence | Factors influencing Patient Preferences for BRCA Testing and Adjuvant Therapy in HER2-Negative Early Breast Cancer in the United States: Best-Worst Scaling and Discrete Choice Experiment.
41188087 | 2026-03-01 | Antioxidants / Breast cancer / Incidence | Novel Genetic Susceptibility Markers for Breast Cancer in Iraqi Women: First Evidence of CYP3A4*1B Protective Effects and GSTP1/MTHFR Risk Associations.
41191919 | 2026-03-01 | Ribose / Ovarian cancer / Incidence | Genome-wide CRISPR-Cas9 screening identifies CLK1 inhibition as a strategy to restore PARP inhibitor sensitivity via ERCC1 isoform switching.
41192394 | 2026-02-01 | Calcium / Uterine cancer / Incidence | Conformational dynamics and energetic perturbations in human β-spectrin-II mediated by calpain cleavage-related mutations: Insights from enhanced sampling simulations.
41193320 | 2026-02-01 | Antioxidants / Ovarian cancer / Incidence | A biochemical study of estrogen receptor beta and oxidative stress in females with ovarian cancer.
41195560 | 2026-04-01 | Iodine / Uterine cancer / Incidence | Efficacy of thermal ablation among women with cervical intraepithelial neoplasia grade 1 and high-risk human papillomavirus genotypes: The first prospective study in Vietnam.
41205803 | 2026-07-01 | Quercetin / Breast cancer / Incidence | Flavonoid-modulated JAK-STAT signaling mitigates malignant transformation and drug resistance in breast tumors: A clinically relevant 3PM-guided innovation.
41213437 | 2026-02-01 | Leucine / Breast cancer / Incidence | Redox regulation of cell migration via Nischarin S-glutathionylation.
41215610 | 2026-02-01 | Iron / Breast cancer / Incidence | Smart Theranostic Nanogels with Swelling-Driven Contrast for Multimodal Imaging, Sensing, and Photothermal Breast Cancer Ablation.
41220296 | 2026-02-01 | Iron / Breast cancer / Incidence | Photosensitizing Lipid Nanoparticles for Ferroptosis-Enhanced Photodynamic Cancer Therapy via GPX4 Silencing.
41221982 | 2026-06-01 | Alcohol / Breast cancer / Incidence | Global Assessment of the Relationship Between Breast Cancer Risk and Dietary Intake: An Ecological Study.
41222307 | 2026-06-01 | Iron / Breast cancer / Incidence | Impact of an ultra-low dose of superparamagnetic iron oxide on postoperative breast MRI artifacts and skin discoloration in patients with breast cancer.
41223669 | 2026-03-01 | Pyruvate / Uterine cancer / Incidence | USP13 exacerbates the malignant progression of cervical cancer by inhibiting ECT2 ubiquitination and degradation.
41225749 | 2026-05-01 | Creatine / Breast cancer / Incidence | MiR-145-5p Attenuates Doxorubicin-Induced Heart Injury Through Targeting Cardiomyocyte Pyroptosis.
41240166 | 2026-02-01 | Copper / Breast cancer / Incidence; Manganese / Breast cancer / Incidence | Autophagy-dependent cell death and immune responses induced by heteroleptic copper(II), manganese(II), and silver(I) complexes containing dicarboxylate and 1,10-phenanthroline ligands: novel insights from in vitro and in vivo models.
41242026 | 2026-02-01 | Manganese / Breast cancer / Incidence | Dual-targeted fucoidan-TPP nanoparticles delivery system potently inhibit breast cancer via mitochondrial dysfunction and cGAS-STING activation.
41242930 | 2026 | Copper / Uterine cancer / Incidence | Cytomorphologic alterations, histologic correlates, and clinical importance of pap test evaluation in intrauterine device users.
41243575 | 2026-02-01 | Pyruvate / Breast cancer / Incidence | Mutant p53 Regulates Pyruvate Dehydrogenase Kinase 1 (PDK1) to Promote Proliferation and Migration in Breast Cancer.
41249523 | 2026-03-01 | Calcium / Breast cancer / Incidence | Aesthetic Medicine in Oncology: A Systematic Review of Botulinum Toxin, Dermal Fillers, Chemical Peels, and Laser Therapies in Cancer Patient.
41260515 | 2026-02-28 | Ribose / Breast cancer / Incidence | Fibrillarin-dependent 2'-O-methylation modulates RPS28 ribosome incorporation and oncogenic translation.
41260568 | 2026 | Iodine / Breast cancer / Incidence | Integration of the nursing care assistant profile in I-125 seed procedures for breast cancer: Clinical and professional impact.
41263486 | 2026-03-01 | Nitric oxide / Breast cancer / Incidence | Dietary nitrate and nitrite protect against doxorubicin-induced cardiac fibrosis and oxidative protein damage in tumor-bearing mice.
41264162 | 2026-05-01 | Ribose / Ovarian cancer / Incidence | Clinical and molecular determinants of response to maintenance olaparib for primary and recurrent epithelial ovarian carcinoma.
41267635 | 2026-04-01 | Ribose / Breast cancer / Incidence | Post-CDK4/6 inhibitor treatment landscape in metastatic hormone receptor-positive breast cancer: a narrative review.
41272941 | 2026-06-01 | Lavender / Uterine cancer / Incidence | Antiproliferative and Apoptotic Effects of Lavandula officinalis In Vitro by Inhibiting HeLa Cancer Cell Growth and Migration.
41274190 | 2026-02-01 | Alcohol / Breast cancer / Incidence | Eligibility for bilateral prophylactic mastectomy: An expert opinion study in the Netherlands.
41275930 | 2026-02-01 | Antioxidants / Ovarian cancer / Incidence | Mutant p53 disrupts antioxidant defense in fallopian tube epithelium via GSTAs suppression: A pathway to serous tubal carcinogenesis.
41283998 | 2026-03-01 | Calcium / Uterine cancer / Incidence | Single-cell and spatial transcriptome-based metabolism-immunity interaction network and therapeutic target discovery of matrine in cervical cancer.
41287397 | 2026-06-01 | Antioxidants / Ovarian cancer / Incidence | Preliminary Assessment of Cytotoxic Effects of Murraya koenigii Toluene Extracts on PA1 Cells via LC-MS, In Vitro, and In Silico Approaches.
41297642 | 2026-03-01 | Astragalus / Uterine cancer / Incidence | Astragalus polysaccharide hinders cervical cancer immune escape by targeting NR3C2 and activating SLC40A1.
41308482 | 2026-03-01 | Calcium / Breast cancer / Incidence; Copper / Breast cancer / Incidence; Iron / Breast cancer / Incidence | A biodegradable nanomedicine for potentiated cancer therapy via Ca<sup>2+</sup>-overload and photothermal dual-amplifying cuproptosis.
41311326 | 2026-02-01 | Iron / Breast cancer / Incidence | Targeted GPX4 Degradation Mediated by Hypoxia-Overcoming Nano-PDTACs for Synergistic Ferroptosis-Immunotherapy.
41314654 | 2026-06-01 | Ribose / Ovarian cancer / Incidence | Treatment of HRD-positive elderly ovarian cancer patient: a case report.
41316921 | 2026-02-01 | Leucine / Breast cancer / Incidence | Importance of SUMOylation Consensus Sequence of MAFK in Regulating EMT, Tumor Growth, Stemness, and Drug Resistance.
41317513 | 2026-03-01 | Iron / Ovarian cancer / Incidence | Faecalibacterium prausnitzii suppresses ovarian cancer by inducing ferroptosis via phenylalanine metabolism activation.
41318995 | 2026-03-04 | Leucine / Breast cancer / Incidence | C/EBPβ stabilizes oxidative stress in triple-negative breast cancer cells, driving taxane resistance and immune evasion.
41319610 | 2026-03-01 | Manganese / Ovarian cancer / Incidence | Preparation of novel Mn-doped Ti-based organic frameworks for the sonodynamic therapy of serous ovarian carcinoma.
41320159 | 2026-03-11 | Calcium / Breast cancer / Incidence | Photoelectrical control of apoptosis and autophagy.
41324162 | 2026-03-01 | Zinc / Ovarian cancer / Incidence | Identification of novel molecular subtypes in ovarian cancer <i>via</i> zinc homeostasis-related genes and their prognostic and immune landscape implications.
41338444 | 2026-02-28 | Copper / Breast cancer / Incidence | Copper orchestrates triple-negative breast cancer progression via the STEAP3-dependent CDK16-JAK1 activation.
41343917 | 2026-03-01 | Copper / Breast cancer / Incidence; Manganese / Breast cancer / Incidence | Radioprotective effects of copper and manganese Schiff base complexes against 6 MeV electron beam on breast cancers cells.
41343998 | 2026-04-01 | Vitamin E / Breast cancer / Incidence | Demystifying targeting potential of surface-functionalized liposome for BTK inhibitor delivery in breast cancer therapy: Multiphase validation from in-silico to in-vivo.
41347401 | 2026-03-01 | Ribose / Ovarian cancer / Incidence | Unveiling the power of PARP inhibitors: a meta-analysis on newly diagnosed advanced ovarian cancer maintenance therapy.
41349354 | 2026-03-01 | Probiotics / Breast cancer / Incidence | Probiotics and the immune landscape: An ally in breast cancer combination therapy.
41350924 | 2026-03-01 | Resveratrol / Breast cancer / Incidence | Correction: The synergistic effect of resveratrol and curcumin on oncogenic lncRNA MAPT-IT1 and ferroptosis-related genes in breast cancer.
41351346 | 2026-05-01 | Caffeine / Uterine cancer / Incidence | Association between daily caffeine intake and uterine fibroids: Results from NHANES 1999-2006.
41352125 | 2026-02-01 | Lactobacillus / Breast cancer / Incidence; Probiotics / Breast cancer / Incidence | Unraveling the microbiome's role in breast cancer progression and treatment response.
41352626 | 2026-02-01 | N-acetylcysteine / Uterine cancer / Incidence | Dibutyl phthalate (DBP) induces cervical injury and promotes malignant transformation of cervical epithelial cells.
41354014 | 2026-04-01 | Gelatin / Breast cancer / Incidence | Alteration in gene expression patterns and increased drug resistance in MCF7 breast cancer cells cultured on 3D collagen-based scaffolds.
41358464 | 2026-07-01 | Chitosan / Breast cancer / Incidence; Creatine / Breast cancer / Incidence | Mitigating doxorubicin-induced toxicity in breast cancer treatment with <i>in situ</i> pH-sensitive carvedilol-loaded transbilosomes: <i>in vitro</i> and <i>in vivo</i> characterization.
41360262 | 2026-02-01 | Calcium / Breast cancer / Incidence; Potassium / Breast cancer / Incidence | Tamoxifen metabolites acting via BK<sub>Ca</sub> orchestrate the dynamics of K<sup>+</sup> and Ca<sup>2+</sup> in breast cancer cells.
41366594 | 2026-04-01 | Ribose / Ovarian cancer / Incidence | Niraparib induces hyperglycemia in ovarian cancer patients: a preliminary pilot study.
41370830 | 2026-04-01 | Cartilage / Breast cancer / Incidence | Residual Breast Cancer Cells Co-opt SOX5-Driven Endochondral Ossification to Maintain Dormancy.
41379766 | 2026-03-17 | Calcium / Breast cancer / Incidence; Vitamin D / Breast cancer / Incidence | Then and Now: What We Have Learned From the WHI.
41386415 | 2026-03-01 | Iron / Breast cancer / Incidence | Cascade-amplified iron-doped bismuth sulfide biomimetic nanoplatform for synergistic therapy and multimodal imaging of triple-negative breast cancer.
41387313 | 2026-03-01 | Gelatin / Breast cancer / Incidence | A Biomimetic Buffering Hydrogel Scaffold for Long-Term Culture of Patient-Derived Tumor Organoids.
41391019 | 2026-02-01 | Iron / Breast cancer / Incidence | WDR5-H3K4me3 Epigenetic Axis Promotes TRMT6-Dependent tRNA M<sup>1</sup>A Modification to Facilitate Triple-Negative Breast Cancer Progression by Suppressing Ferroptosis.
41391242 | 2026-03-01 | Manganese / Breast cancer / Incidence | A H2O2-self-supplying and oxygen-evolving nanosystem for amplified chemodynamic therapy of breast cancer.
41391671 | 2026-03-01 | Carnitine / Breast cancer / Incidence | Palmitic acid fuels triple-negative breast cancer through metadherin-dependent fatty acid β-oxidation: Relevance to high fat diet-induced breast cancer progression.
41391693 | 2026-03-01 | Potassium / Ovarian cancer / Incidence | KCMF1 regulates HRI ubiquitination to inhibit the integrated stress response in ovarian cancer.
41395670 | 2026-04-01 | Cartilage / Ovarian cancer / Incidence | Ovarian Sertoli-Leydig cell tumors with heterologous rhabdomyosarcoma: Clinicopathologic features and molecular analysis highlighting recurrent genetic alterations.
41399186 | 2026-03-01 | Carnitine / Breast cancer / Incidence | Doxorubicin Resistance Reprograms Triple-Negative Breast Cancer Cell Metabolism via the Fatty Acid β-Oxidation (FAO)-CD36 Regulatory Circuit: Relevance of Enhanced FAO on Tumor Cell Invasiveness.
41402631 | 2026-05-01 | Ribose / Breast cancer / Incidence | [Poly (ADP-ribose) polymerase inhibitor combination therapy in metastatic castration-resistant prostate cancer].
41406609 | 2026-02-01 | Iron / Ovarian cancer / Incidence; Iron / Uterine cancer / Incidence | Iron: A double-edged sword of female reproductive health.
41411699 | 2026-02-01 | Dehydroepiandrosterone / Ovarian cancer / Incidence; Dehydroepiandrosterone / Uterine cancer / Incidence | Hormone replacement therapy in gynecologic cancer: oncologic safety and alternative therapies.
41411886 | 2026-03-01 | Vitamin D / Breast cancer / Incidence | Synthesis and biological evaluation of novel C1 or C3 amino derivatives of A-ring 1,2,3-trisubstituted 19-nor-vitamin D<sub>3</sub>.
41413789 | 2026-05-01 | Ribose / Ovarian cancer / Incidence | Association of homologous recombination repair gene mutation with clinical prognosis in histological subtypes of epithelial ovarian cancer patients.
41415476 | 2026-02-01 | Ribose / Ovarian cancer / Incidence | Roles of minimally invasive techniques in the management of epithelial ovarian cancer (Review).
41420735 | 2026-03-01 | Vitamin D / Breast cancer / Incidence | The association of serum vitamin D3 and vitamin D binding protein levels before and after treatment with the response to neoadjuvant chemotherapy in Egyptian breast cancer patients: a prospective observational study.
41431193 | 2026-03-01 | Calcium / Breast cancer / Incidence; Potassium / Breast cancer / Incidence | Osmotic Tension Asymmetry Drives Electrotactic Migration via PDLIM7-Polarized Microfilament Coordination in Breast Cancer Cells.
41432681 | 2026-05-01 | Lactobacillus / Breast cancer / Incidence | Biogenic Synthesis of Cerium Oxide Nanoparticles: Characterization, Biological Activities and Their Corrosion Inhibition Properties.
41432892 | 2026-02-01 | Carnitine / Breast cancer / Incidence | Intratumoural microbial metabolites in breast cancer: a longitudinal study on association with metastatic progression.
41443267 | 2026-02-25 | N-acetylcysteine / Ovarian cancer / Incidence | Monodentate Phosphine Modulation in Cyclometallated Platinum(II) Complexes for Antileishmanial, Antiviral, and Antitumor Applications.
41447851 | 2026-02-01 | Berberine / Breast cancer / Incidence; Resveratrol / Breast cancer / Incidence | The advancements in targeted therapeutic strategies for breast cancer via intervention of natural molecules: An insight into cellular and molecular mechanisms.
41448490 | 2026-02-01 | Copper / Breast cancer / Incidence | Augmenting the cytotoxicity and apoptosis induction of green synthesized copper oxide nanoparticles from Artemisia sieberi by combining with tamoxifen: Mechanism involving Bax/Bcl-2 modulation.
41451593 | 2026-03-01 | Calcium / Breast cancer / Incidence | Fine-Tuning Lipid-Coated Porous Silicon Nanoparticles for siRNA Delivery.
41453717 | 2026-02-01 | Chitosan / Breast cancer / Incidence | Enhanced in vitro photodynamic therapy for triple-negative breast cancer by pheophorbide a-encapsulated chitosan-tripolyphosphate nanoparticles.
41453730 | 2026-03-01 | Ribose / Ovarian cancer / Incidence | Validation of the SOPHiA DDM HRD Solution as a Companion Diagnostic for Poly (ADP-Ribose) Polymerase Inhibitor Access in Australia.
41456765 | 2026-02-01 | Soy / Breast cancer / Incidence | Cationic liposome-based silencing of thioredoxin reductase-1 for sensitization of MDA-MB 231 cells to gamma radiation.
41456805 | 2026-02-15 | Iron / Ovarian cancer / Incidence | O-GlcNAcylation stabilizes c-MYC to upregulate xCT and inhibit ferroptosis in ovarian cancer.
41457436 | 2026-06-01 | Ribose / Ovarian cancer / Incidence | Quality of life in ovarian cancer patients receiving maintenance therapy with bevacizumab versus PARPi: a network meta-analysis.
41460317 | 2026-03-01 | Soy / Breast cancer / Incidence | Design and characterization of phloretin-loaded PEG-lipid hybrid micelles for enhanced breast cancer therapy.
41461214 | 2026-03-01 | Zinc / Breast cancer / Incidence | Evaluation of sapogenin isolated from the defatted seeds of Camellia oleifera and its derivative as anti-breast cancer agents.
41461266 | 2026-02-01 | Bilberry / Breast cancer / Incidence | Bilberry (Vaccinium myrtillus L.) Peel-Enriched Pomace as Natural Anticancer Agents: Preclinical Evidence from Breast Carcinoma Models Supporting Preventive and Personalized Treatment Strategies.
41467893 | 2026-02-01 | Cannabidiol / Breast cancer / Incidence | A Randomized, Open-Label Trial to Assess Feasibility and Tolerability of Topical Cannabis Balms for the Treatment of Aromatase Inhibitor-Associated Musculoskeletal Syndrome (AIMSS).
41476035 | 2026-02-23 | Iodine / Ovarian cancer / Incidence | Ligand-Dependent DNA Binding and Cytotoxicity of Palladium(II) Complexes.
41477927 | 2026-02-01 | Iodine / Breast cancer / Incidence | Iodine<sup>125</sup> grain isotope detection compared to standard metal guide detection for breast cancers: The IODINE BREAST, a randomised, non-inferiority trial.
41478261 | 2026-02-01 | Glutamine / Uterine cancer / Incidence | Glutamine metabolites promote the progression of cervical cancer by inducing M2 macrophage polarization.
41481959 | 2026-04-01 | Manganese / Breast cancer / Incidence | A multifunctional nanozyme integrating panoptosis induction and T-cell metabolic reprogramming to augment the efficacy of PD-1 inhibitors.
41482011 | 2026-02-01 | Pyruvate / Breast cancer / Incidence | Mitochondrial pyruvate dehydrogenase kinase 1 drives bevacizumab resistance and malignant phenotype of TNBC by enhancing mitophagy.
41482078 | 2026-03-01 | Dehydroepiandrosterone / Breast cancer / Incidence; Selenium / Breast cancer / Incidence | Design, synthesis, and biological evaluation of novel steroidal selenosemicarbazone derivatives as potent antitumor agents.
41482692 | 2026-02-01 | Calcium / Uterine cancer / Incidence | pH-Responsive Biomineralized Probiotic for Self-Amplifying Mucosal Vaccination: Gut-Engineered Antigen Factories Drive Targeted Cervical Tumor Regression.
41483491 | 2026-02-01 | Ribose / Uterine cancer / Incidence | Homologous recombination deficiency in endometrial cancer: shedding light on recent clinical findings.
41483620 | 2026-02-15 | Copper / Uterine cancer / Incidence | Multi-omics profiling reveals that targeting NEK3 synergizes with cuproptosis to promote M1 macrophage polarization in cervical cancer.
41483837 | 2026-02-01 | Iron / Breast cancer / Incidence; Quercetin / Breast cancer / Incidence | Targeting ferroptosis with flavonoids for cancer therapy: Mechanisms and opportunities.
41484388 | 2026-02-01 | Citrulline / Breast cancer / Incidence | The role of the SLC25A15 transporter in the formation of liver metastasis in ESR1-mutated breast cancer.
